hsa	Homo sapiens (human)
ptr	Pan troglodytes (chimpanzee)
pps	Pan paniscus (bonobo)
ggo	Gorilla gorilla gorilla (western lowland gorilla)
pon	Pongo abelii (Sumatran orangutan)
nle	Nomascus leucogenys (northern white-cheeked gibbon)
mcc	Macaca mulatta (rhesus monkey)
mcf	Macaca fascicularis (crab-eating macaque)
cjc	Callithrix jacchus (white-tufted-ear marmoset)
mmu	Mus musculus (mouse)
rno	Rattus norvegicus (rat)
cge	Cricetulus griseus (Chinese hamster)
ngi	Nannospalax galili (Upper Galilee mountains blind mole rat)
hgl	Heterocephalus glaber (naked mole rat)
ocu	Oryctolagus cuniculus (rabbit)
tup	Tupaia chinensis (Chinese tree shrew)
cfa	Canis familiaris (dog)
aml	Ailuropoda melanoleuca (giant panda)
umr	Ursus maritimus (polar bear)
fca	Felis catus (domestic cat)
ptg	Panthera tigris altaica (Amur tiger)
bta	Bos taurus (cow)
bom	Bos mutus (wild yak)
phd	Pantholops hodgsonii (chiru)
chx	Capra hircus (goat)
oas	Ovis aries (sheep)
ssc	Sus scrofa (pig)
cfr	Camelus ferus (Wild Bactrian camel)
bacu	Balaenoptera acutorostrata scammoni (minke whale)
lve	Lipotes vexillifer (Yangtze River dolphin)
ecb	Equus caballus (horse)
myb	Myotis brandtii (Brandt's bat)
myd	Myotis davidii
pale	Pteropus alecto (black flying fox)
mdo	Monodelphis domestica (opossum)
shr	Sarcophilus harrisii (Tasmanian devil)
oaa	Ornithorhynchus anatinus (platypus)
gga	Gallus gallus (chicken)
mgp	Meleagris gallopavo (turkey)
apla	Anas platyrhynchos (mallard)
tgu	Taeniopygia guttata (zebra finch)
fab	Ficedula albicollis (collared flycatcher)
phi	Pseudopodoces humilis (Tibetan ground-tit)
fpg	Falco peregrinus (peregrine falcon)
fch	Falco cherrug (Saker falcon)
clv	Columba livia (rock pigeon)
asn	Alligator sinensis (Chinese alligator)
amj	Alligator mississippiensis (American alligator)
pss	Pelodiscus sinensis (Chinese soft-shelled turtle)
cmy	Chelonia mydas (green sea turtle)
acs	Anolis carolinensis (green anole)
pbi	Python bivittatus (Burmese python)
xla	Xenopus laevis (African clawed frog)
xtr	Xenopus tropicalis (western clawed frog)
dre	Danio rerio (zebrafish)
tru	Takifugu rubripes (torafugu)
mze	Maylandia zebra (zebra mbuna)
ola	Oryzias latipes (Japanese medaka)
xma	Xiphophorus maculatus (southern platyfish)
lcm	Latimeria chalumnae (coelacanth)
cmk	Callorhinchus milii (elephant shark)
bfo	Branchiostoma floridae (Florida lancelet)
cin	Ciona intestinalis (sea squirt)
spu	Strongylocentrotus purpuratus (purple sea urchin)
dme	Drosophila melanogaster (fruit fly)
dpo	Drosophila pseudoobscura pseudoobscura
dan	Drosophila ananassae
der	Drosophila erecta
dpe	Drosophila persimilis
dse	Drosophila sechellia
dsi	Drosophila simulans
dwi	Drosophila willistoni
dya	Drosophila yakuba
dgr	Drosophila grimshawi
dmo	Drosophila mojavensis
dvi	Drosophila virilis
aga	Anopheles gambiae (mosquito)
aag	Aedes aegypti (yellow fever mosquito)
cqu	Culex quinquefasciatus (southern house mosquito)
ame	Apis mellifera (honey bee)
nvi	Nasonia vitripennis (jewel wasp)
tca	Tribolium castaneum (red flour beetle)
bmor	Bombyx mori (domestic silkworm)
api	Acyrthosiphon pisum (pea aphid)
phu	Pediculus humanus corporis (human body louse)
isc	Ixodes scapularis (black-legged tick)
cel	Caenorhabditis elegans (nematode)
cbr	Caenorhabditis briggsae
bmy	Brugia malayi (filaria)
loa	Loa loa (eye worm)
tsp	Trichinella spiralis
hro	Helobdella robusta
lgi	Lottia gigantea (owl limpet)
smm	Schistosoma mansoni
nve	Nematostella vectensis (sea anemone)
hmg	Hydra vulgaris
tad	Trichoplax adhaerens
aqu	Amphimedon queenslandica (sponge)
ath	Arabidopsis thaliana (thale cress)
aly	Arabidopsis lyrata (lyrate rockcress)
crb	Capsella rubella
eus	Eutrema salsugineum
cit	Citrus sinensis (Valencia orange)
cic	Citrus clementina (mandarin orange)
tcc	Theobroma cacao (cacao)
gmx	Glycine max (soybean)
pvu	Phaseolus vulgaris (common bean)
mtr	Medicago truncatula (barrel medic)
cam	Cicer arietinum (chickpea)
fve	Fragaria vesca (woodland strawberry)
pper	Prunus persica (peach)
pmum	Prunus mume (Japanese apricot)
mdm	Malus domestica (apple)
csv	Cucumis sativus (cucumber)
cmo	Cucumis melo (muskmelon)
rcu	Ricinus communis (castor bean)
pop	Populus trichocarpa (black cottonwood)
vvi	Vitis vinifera (wine grape)
sly	Solanum lycopersicum (tomato)
sot	Solanum tuberosum (potato)
osa	Oryza sativa japonica (Japanese rice) (RefSeq)
dosa	Oryza sativa japonica (Japanese rice) (RAPDB)
obr	Oryza brachyantha (malo sina)
bdi	Brachypodium distachyon
sbi	Sorghum bicolor (sorghum)
zma	Zea mays (maize)
sita	Setaria italica (foxtail millet)
pda	Phoenix dactylifera (date palm)
atr	Amborella trichopoda
smo	Selaginella moellendorffii
ppp	Physcomitrella patens subsp. patens
cre	Chlamydomonas reinhardtii
vcn	Volvox carteri f. nagariensis
olu	Ostreococcus lucimarinus
ota	Ostreococcus tauri
bpg	Bathycoccus prasinos
mis	Micromonas sp. RCC299
mpp	Micromonas pusilla
csl	Coccomyxa subellipsoidea
cvr	Chlorella variabilis
cme	Cyanidioschyzon merolae
gsl	Galdieria sulphuraria
ccp	Chondrus crispus (carragheen)
sce	Saccharomyces cerevisiae (budding yeast)
ago	Ashbya gossypii (Eremothecium gossypii)
erc	Eremothecium cymbalariae
kla	Kluyveromyces lactis
lth	Lachancea thermotolerans
vpo	Vanderwaltozyma polyspora
zro	Zygosaccharomyces rouxii
cgr	Candida glabrata
ncs	Naumovozyma castellii
ndi	Naumovozyma dairenensis
tpf	Tetrapisispora phaffii
tbl	Tetrapisispora blattae
tdl	Torulaspora delbrueckii
kaf	Kazachstania africana
ppa	Komagataella pastoris
dha	Debaryomyces hansenii
pic	Scheffersomyces stipitis
pgu	Meyerozyma guilliermondii
spaa	Spathaspora passalidarum
lel	Lodderomyces elongisporus
cal	Candida albicans
ctp	Candida tropicalis
cot	Candida orthopsilosis
cdu	Candida dubliniensis
cten	Candida tenuis
yli	Yarrowia lipolytica
clu	Clavispora lusitaniae
ncr	Neurospora crassa
smp	Sordaria macrospora
pan	Podospora anserina
ttt	Thielavia terrestris
mtm	Myceliophthora thermophila
cthr	Chaetomium thermophilum
mgr	Magnaporthe oryzae
tmn	Togninia minima
fgr	Fusarium graminearum
nhe	Nectria haematococca
tre	Trichoderma reesei
maw	Metarhizium acridum
maj	Metarhizium anisopliae
cmt	Cordyceps militaris
val	Verticillium alfalfae
ela	Eutypa lata
ssl	Sclerotinia sclerotiorum
bfu	Botrytis cinerea
mbe	Marssonina brunnea
ani	Aspergillus nidulans
afm	Aspergillus fumigatus
aor	Aspergillus oryzae
ang	Aspergillus niger
afv	Aspergillus flavus
act	Aspergillus clavatus
nfi	Neosartorya fischeri
pcs	Penicillium chrysogenum
cim	Coccidioides immitis
cpw	Coccidioides posadasii
pbl	Paracoccidioides brasiliensis
ure	Uncinocarpus reesii
abe	Arthroderma benhamiae
tve	Trichophyton verrucosum
aje	Ajellomyces capsulatus
